ID,Title,Author,Genre,Description,SE_Description,URL,AccessionNo,BookType,SubjectNo,Publisher,Price,Currency,Pages,Language,CupboardNo,RackNo,Branch,YearOfPublication,BarcodePrint,IndexPrev,Page1Prev,Page2Prev,Page3Prev,SellerInfo,SellerContact,AddedBy,TimeOfEntry,Remark
1,"Wings of Fire","Abdul Kalam","Biography, Nonfiction, Biography, Autobiography, Cultural, India, Asian Literature, Indian Literature, Inspirational, Autobiography, Memoir, Science, Self Help, Biography Memoir","Avul Pakir Jainulabdeen Abdul Kalam, the son of a little-educated boat-owner in Rameswaram, Tamil Nadu, had an unparalleled career as a defence scientist, culminating in the highest civilian award of India, the Bharat Ratna. As chief of the country's defence research and development programme, Kalam demonstrated the great potential for dynamism and innovation that existed in seemingly moribund research establishments. This is the story of Kalam's rise from obscurity and his personal and professional struggles, as well as the story of Agni, Prithvi, Akash, Trishul and Nag-missiles that have become household names in India and that have raised the nation to the level of a missile power of international reckoning. This is also the saga of independent India's struggle for technological self-sufficiency and defensive autonomy-a story as much about politics, domestic and international, as it is about science.",NULL,https://www.goodreads.com/book/show/634583.Wings_of_Fire?from_search=true&from_srp=true&qid=4iBZJ4u6GH&rank=1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2,"My Journey","Abdul Kalam","Biography, Nonfiction, Biography, Autobiography, Cultural, India, Inspirational, Autobiography, Memoir, Asian Literature, Indian Literature, Self Help, Science, Self Help, Personal Development","From a small boy growing up in Rameswaram, to becoming the country?s eleventh President, A.P.J. Abdul Kalam?s life has been a tale of extraordinary determination, courage, perseverance and the desire to excel. In this series of anecdotes and profiles, Dr Kalam looks back on key moments in his past?some small and some momentous?and tells the reader how each of them inspired",NULL,https://www.goodreads.com/book/show/18371021-my-journey?from_search=true&from_srp=true&qid=Bvzsic7NQw&rank=1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
50,"Agricultural Price Policy in India","Gaur Vandana",NULL,NULL,NULL,NULL,77767,1,"630 54 /GAU","Raka, Allahabad",200.00,₹,210,2,1400,1,NULL,NULL,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
59,"The Kingdom of Blue Skies","Chattopadhyaya M",NULL,NULL,NULL,NULL,77776,1,"C S","National Book Trust- India, N Delhi",45.00,₹,103,2,0,0,NULL,NULL,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
60,"Pulmonary Tuberculosis","Menon M P S ",NULL,NULL,NULL,NULL,77777,1,"614 5/ MEN","National Book Trust- India, N Delhi",65.00,₹,334,2,1370,2,NULL,NULL,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
61,Pita-Putra,"Biswas Ranjita ",NULL,NULL,NULL,NULL,77778,1,823/BIS,"National Book Trust- India, N Delhi",45.00,₹,203,2,1400,2,NULL,NULL,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
62,"Material Marvels","Sharma B C ",NULL,NULL,NULL,NULL,77779,1,"729  232/ SHA","National Book Trust- India, N Delhi",40.00,₹,135,2,1390,4,NULL,NULL,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
64,Fall,"Borade R R",,NULL,NULL,https://www.goodreads.com/book/show/10843460-fall?from_search=true&from_srp=true&qid=PrQoxNaeAV&rank=1,77781,1,"823/ BOR","National Book Trust- India, N Delhi",30.00,₹,106,2,5012,50,NULL,NULL,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
66,"Self- care forWomen","Sheth P R ",NULL,NULL,NULL,NULL,77783,1,396/SHE,"National Book Trust- India, N Delhi",35.00,₹,156,2,1241,5,NULL,NULL,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
67,"Reaching Womanhood","Nandedkar, Rajadhyaksha",,"This is a must read and must have book for every young girls and women reached or reaching womanhood..to accept a new phase and new upcoming challenges of life. Don't forget to celebrate Womanhood.",NULL,https://www.goodreads.com/book/show/33288946-reaching-womanhood?from_search=true&from_srp=true&qid=Yzx9RY7t47&rank=1,77784,1,"396 /NAN","National Book Trust- India, N Delhi",35.00,₹,130,2,1360,4,NULL,NULL,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
